epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_acc,val_acc,train_sensitivity,val_sensitivity,train_specificity,val_specificity
1,2.0742068659910253,0.7069988799095154,0.7810904804121919,0.7741452722726783,0.659188661658483,0.6382814217741736,0.914441642110014,0.8681252034461053,0.7810745457413986,0.9116053762119304,0.959160559381411,0.8601160218671318
2,1.5872307120376081,0.5384953951835633,0.8271157187365069,0.8277990635644714,0.7194817586885695,0.7180659766553025,0.9322761335751578,0.9092356363886043,0.8272952450141554,0.8264656619613773,0.96540743044919,0.9548380383953348
3,1.3436020906607065,0.47859344840049745,0.8395715737218031,0.8421682316838499,0.7375870857567154,0.7453954234810412,0.9370904813698162,0.9185860188755361,0.8414241563612874,0.8065818371564062,0.9676051003877365,0.974779090402168
4,1.1782619127507203,0.43840010404586793,0.8516987274958189,0.8498781788426445,0.7529239494524075,0.7495838458588726,0.9395205160209708,0.9193880208286572,0.8511424102061741,0.8538408473168532,0.9678595744737961,0.9564924395114925
5,1.0780072610348876,0.4098551195859909,0.8520822108761044,0.8597995069480214,0.7547927583718037,0.7685439246990943,0.9419034341647584,0.9253778076124807,0.8509670187276399,0.8358694799934716,0.9702623313648004,0.9735133278862516
6,0.9770250847141254,0.38952230036258695,0.865149717683269,0.8573395158908488,0.772486784590789,0.7583924943764835,0.945975258092072,0.9248913574171707,0.8625281973523251,0.8851664908921056,0.9719449574853083,0.948498485108487
7,0.9451244140993832,0.33640202939510344,0.8662029697463027,0.8770341151701357,0.7744648497222972,0.7880965536624154,0.9469924009771552,0.9361832682244049,0.8643375378563543,0.8969268839693493,0.9714338158599378,0.960417951441257
8,0.9228136811767044,0.3706903523206711,0.8669670150263284,0.857347013236736,0.7763543596872756,0.7578782023108098,0.9473332668073964,0.9247949218702963,0.8649115087287115,0.8716628588393754,0.9725556604375437,0.955255730902089
9,0.8913902459875644,0.38108059465885163,0.8720256427608465,0.8621842433855158,0.7831965976176655,0.7681738374628344,0.9483654725546166,0.9266151936801831,0.8709589301850585,0.85199469202986,0.9723781708731639,0.9646239749587427
10,0.8621531300625559,0.3673986119031906,0.8757255887303369,0.8607501001118528,0.7875819900018246,0.7597883060688503,0.9508632587370709,0.9237080891880101,0.873536319556053,0.897761365458634,0.9737344436171982,0.9354462198604204
