epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_acc,val_acc,train_sensitivity,val_sensitivity,train_specificity,val_specificity
1,0.41436693821948,0.33208625197410585,0.8202498157880509,0.8696998524569637,0.7073060014745673,0.7736620187933003,0.927458585648195,0.925000610350239,0.8190444437165684,0.918454065708397,0.960980656855868,0.925470159592696
2,0.2750279825706423,0.34336212515830994,0.8856941016499179,0.867343849397228,0.7967099416492437,0.7681893302708701,0.9519434891826589,0.9246931966132643,0.884876829545074,0.934528389277504,0.9728788404089607,0.920664094996937
3,0.24822629435113602,0.29794260025024416,0.8953157133172586,0.8793482213786262,0.8123299632024594,0.7866685986711413,0.9563309449103213,0.9328961181627312,0.8907887122102042,0.9244525927023385,0.9762199817268736,0.9358467273994995
4,0.2276782256328255,0.31051293075084685,0.9030275795151309,0.8830082266611303,0.8247901658703066,0.7922010890339094,0.9599302014921274,0.9334163411445008,0.8995106649802422,0.9369422637590132,0.9779491062064448,0.9311342104038668
5,0.21515233298203695,0.31718849539756777,0.9080213583422816,0.8831442533260214,0.8329824033817836,0.795690168193962,0.9622186219996384,0.9419148763007376,0.9049611618301194,0.8533143882095757,0.978853683948707,0.9734595288566068
6,0.21553472466081197,0.29563819110393524,0.9083262831097312,0.8871075087937697,0.8333710301406262,0.8000300705582979,0.9621522977539269,0.9397914632148033,0.9011183437254969,0.9014389062501903,0.9795509762669231,0.9527308453602014
7,0.19795190908608992,0.2877924728393555,0.9152378890138988,0.8954842244506436,0.8449605498563535,0.813920082892142,0.9649679577898505,0.9444624837226092,0.9105831976280129,0.8975451297642505,0.9801380024054447,0.9613937779129438
8,0.1901555981464181,0.2884340167045593,0.9196772222443147,0.8909455636957321,0.8520987886187376,0.8054228935836878,0.9662920087867855,0.9394266764309527,0.9140892608459266,0.9373766167748855,0.9814044636201646,0.9398326756697561
9,0.18749212176521862,0.28158851981163024,0.9194058579592641,0.8936878982117672,0.8516220177836785,0.8107983750753955,0.9664592313851167,0.9415150960273011,0.9163991396426495,0.9219919512782784,0.980393764009524,0.9479982098855588
10,0.1786318189161687,0.2837321293354034,0.9225692836149744,0.8915888383487603,0.8571275747346567,0.8059753704529831,0.9675492440739416,0.9408764648424071,0.9181024742374385,0.9270777672268281,0.981296811298452,0.9453459845651111
11,0.17047256226737076,0.3540066993236542,0.9266572680458761,0.8727050593168173,0.8639440752633332,0.776857997846613,0.9693707815208137,0.9298063151028386,0.9234771592009604,0.9151680229265677,0.9818610052489706,0.934594342421973
12,0.16257896809124509,0.30361371278762816,0.9294337048170013,0.8887374689190903,0.8687105417463408,0.8018206233898769,0.9708642315997958,0.9369287109361636,0.9282668157917217,0.9483298107464952,0.9823155602221129,0.932279565101206
13,0.16890024713760504,0.33559510469436643,0.9278507989385371,0.8805178513840525,0.8661725770823786,0.7894129645000321,0.969816726652082,0.9363311767564748,0.9225107845955874,0.9019297758002033,0.9828260069442567,0.9483620626550103
14,0.1561380834575811,0.3434082996845245,0.932396473305546,0.8765180919998867,0.8738616440775125,0.7822084344642714,0.9716113271875886,0.9316697184231498,0.9298120961611781,0.9208540885366051,0.982931128038858,0.935142295809985
15,0.15261699707230175,0.3758846306800842,0.9337185786081293,0.8694398257959116,0.8762251726329552,0.7712077181045118,0.972122722850676,0.9279762776679467,0.9311069510731343,0.918197176467246,0.9834344300702014,0.9309941712627002
16,0.13920610841432232,0.33380360424518585,0.9393736687769192,0.8849465478908282,0.8860177769110843,0.7962939093033963,0.974538518362176,0.9386389160142842,0.9371149661573429,0.9040631411713344,0.9848179476322477,0.9506209588289087
17,0.13749110163903674,0.32534531116485593,0.9401524270953981,0.8885515438934156,0.8874106576352397,0.8006490270237892,0.9748195109910258,0.9378420003241836,0.937973986910739,0.942604971861722,0.9847525135095373,0.9358327025630055
18,0.13500416402253637,0.33138287186622617,0.940876493411831,0.8859634132819858,0.8889283152330724,0.7968869843420581,0.9755518704578908,0.9380566406236613,0.9390059533695274,0.9198078469470868,0.9855513782154733,0.9444275675843029
