epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_acc,val_acc,train_sensitivity,val_sensitivity,train_specificity,val_specificity
1,0.8639893090045323,0.698677966594696,0.6812947159608338,0.8266536165889556,0.5774975858796877,0.7171544293106309,0.8981650048255715,0.9110876464797409,0.6744618920218773,0.830370052359752,0.9714243578761214,0.956981387072518
2,0.6239822795284548,0.5802039480209351,0.834838639037719,0.8391232463802741,0.7282835046015997,0.7399081143758518,0.9343462426246257,0.9194956461541772,0.8405240068972761,0.8015129016944759,0.9666150723512453,0.9744638044906868
3,0.504413461602524,0.537370867729187,0.84691676777232,0.8287033102230654,0.7451791113017223,0.7301925952294147,0.9387591126349571,0.9168096923781494,0.8517558774721534,0.7803134009982717,0.9664903581070984,0.9783892262478101
4,0.4346313973880145,0.4323175919055939,0.8553249664214094,0.8608106968674979,0.7581669487562885,0.7672031019278076,0.9413434279853833,0.9266147867791412,0.8596540309523598,0.8570700592120261,0.9670561577667149,0.9639589204051106
5,0.3901949901885722,0.42742630481719973,0.8588133189690349,0.8525989072553599,0.763829750113343,0.7540729876448091,0.9434525264932906,0.9221360270135389,0.8596265240904628,0.8667757534091767,0.9694226665584184,0.9551114426608184
6,0.3619395750926345,0.4494160556793213,0.8623950322873588,0.8365384096435662,0.7682522553854627,0.7298318480282863,0.9452558222537876,0.9134452311151456,0.8616493990159494,0.8917930738636022,0.9707875198041072,0.9333951819392868
7,0.34390123746428175,0.4110007578134537,0.8642765621906877,0.8522018033497865,0.7720234318142568,0.7525487315575028,0.9464144714025124,0.9215989176385417,0.8620032872375811,0.8776358571605835,0.970872722881677,0.950073026157587
8,0.33481857131230996,0.4332144033908844,0.8667528169620249,0.8466684689302477,0.7749400343344479,0.7517287506442297,0.9465329993561742,0.9202301025343819,0.8644924172757106,0.8292964357423898,0.9718884248726177,0.9696409347380839
9,0.31617060813404196,0.3636257404088974,0.8717652873226431,0.8700931085092125,0.782804479894253,0.7812912234737338,0.9492195180287172,0.9320904540968218,0.8666915489365378,0.8703892604355447,0.9725631723684952,0.9667136701252644
10,0.30962813826986746,0.4982131308317184,0.8728305388328956,0.828475609166709,0.7835888971336656,0.7332484053361723,0.9493813928556738,0.9144836425734734,0.8674438898217962,0.7824175525104309,0.9729100708215673,0.9791292011042738
11,0.2918386353618926,0.37079764902591705,0.8796051479318922,0.861343205801438,0.7941258743240481,0.7638470229361186,0.9520686325393075,0.9247524007114423,0.8740621694978764,0.9100637088759498,0.9748499825232074,0.934957098661123
12,0.28413989702569686,0.3910098499059677,0.88103375462572,0.8540338824356865,0.7962099734420233,0.7519269860357022,0.9525720079997487,0.9212762451125016,0.8788599583565001,0.9052004072642871,0.9743828914632788,0.9366037887268795
13,0.28107533943717394,0.3783918821811676,0.8814871798645273,0.8616191726648657,0.7970442932695412,0.7680277407921339,0.9530403125402861,0.9278627522739264,0.8799055836955216,0.8709365612884981,0.9749257963537229,0.9609371208456615
14,0.2746233096337649,0.31201853930950163,0.8831293255077208,0.8839668983152394,0.7989297005728793,0.8011374671145056,0.9542456001346749,0.9406211344353198,0.8790256717010935,0.8796070703477225,0.9753099428511184,0.9698267677022038
15,0.2740955263123674,0.3172969114780426,0.8831602424318331,0.880908936712296,0.7991898694756092,0.796398123562233,0.9532599701365088,0.9379109700473127,0.8780806759234119,0.9091392762745297,0.9737297537624784,0.9553308910584049
16,0.2693762725279401,0.3509428632259369,0.8845402097364052,0.869028302162986,0.8013756112884417,0.7775210287866097,0.9539113017750221,0.9309305826775567,0.8811370634669936,0.8728158767512889,0.9749284683660719,0.9622410018944785
17,0.2657727571247355,0.35952473163604737,0.8854702699321538,0.8690786611791418,0.8038305504581913,0.7770105800723021,0.954848177316716,0.9313393147739087,0.8832271262690883,0.8786083756800876,0.9755887911645738,0.9608994000161525
18,0.25499390427292956,0.3451385021209717,0.8908996530464978,0.8696003116869648,0.8107989629896546,0.779959713443137,0.9561363890236222,0.9286309814405892,0.8872758847041741,0.9173170035572895,0.9747773481232911,0.9373811218907447
19,0.2610647940006572,0.33963687360286715,0.8873402482824686,0.8713217232034096,0.8054499497607012,0.7808231795603473,0.9552433697652342,0.9308003743442241,0.8847199497959849,0.9071619166741813,0.9752860967883871,0.9469651446980442
20,0.24381360704960367,0.31155147552490237,0.8952031173025196,0.8831119049427507,0.8171240702606167,0.8011182198968063,0.9583348223730961,0.9401869710238638,0.8912417854234318,0.893144042676625,0.9759075558090556,0.9664802762231872
21,0.24984134444378558,0.39561611831188204,0.891110425511743,0.8547507157272561,0.8108974545141766,0.7610106027999808,0.9569402693673765,0.9092557779901669,0.8892576920918234,0.9498700412927072,0.9755991946748703,0.8952303047522234
22,0.24556472001508314,0.29243176996707915,0.8956810811190205,0.8916961266100624,0.8177620607125999,0.8149000045834149,0.9575298683497818,0.9437896728467621,0.8910596257406496,0.9030236347524706,0.9761608519228575,0.9632683099950892
23,0.24871393112904852,0.3595389947295189,0.8919116799168575,0.8700756983506678,0.8121514944672126,0.7807433863757555,0.9570401294034492,0.9316890462192198,0.888927002703519,0.8626716002548853,0.9758942518231362,0.9661940788822375
24,0.24210876794689792,0.31164556175470354,0.8940845614497457,0.8829128002398358,0.8156898603749008,0.799878335133409,0.958380347953817,0.9390533447217863,0.8898556941092572,0.892100124365093,0.9761056669195077,0.9632432120467346
25,0.23815584951905513,0.3875670117139816,0.8970261790604642,0.8567501359382121,0.8199751691221135,0.7597403827067294,0.9589531520800523,0.9185758463494945,0.8927278716405653,0.9427595909439066,0.9772697465233396,0.9112044864318674
26,0.24165320289084466,0.3547301572561264,0.8948456514603691,0.8641169949868889,0.8167793290203463,0.7689497786919461,0.9584227622149396,0.9246539306593593,0.8902251920785926,0.9419979346689813,0.9767914655811092,0.9183697840273968
27,0.23555582330113015,0.34335602581501007,0.8968912548861845,0.8654573585434077,0.8195042039315745,0.7709101228232222,0.959246932751237,0.9283618164015283,0.8929829514632002,0.9246256017346691,0.9768830970166985,0.9333544588370887
28,0.23431200234474864,0.3425752258300781,0.89800877518259,0.8705518268513357,0.8216012003671261,0.7819595669403899,0.9596636458133961,0.9301615397088105,0.8939093854285959,0.9351631578337013,0.9776043422497401,0.9327100246566503
