epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_acc,val_acc,train_sensitivity,val_sensitivity,train_specificity,val_specificity
1,1.0613481719247733,0.8696215367317199,0.7681860881948238,0.8234487783089505,0.6410574480787559,0.7136315635300337,0.901752199580806,0.9100174967401629,0.7977341163362877,0.8197913737974861,0.9393515176503761,0.9553430534079415
2,0.8093686695275211,0.6992294895648956,0.8180316939137469,0.8150532287506842,0.7049838458716184,0.7075625499000209,0.9279550279002824,0.9074690755162176,0.835044251416744,0.7920231606497451,0.9583181011440729,0.9657302514031874
3,0.6260927668980715,0.5792078506946564,0.8274187710668935,0.8213331880651938,0.7195035034589187,0.7078651483260959,0.9325364734384679,0.9058496093703927,0.8332180652687617,0.842437785047966,0.9635616973125998,0.9413854511762827
4,0.5032995454335617,0.49036179661750795,0.8390020597019927,0.8368972903832343,0.73651281218284,0.7291178035528628,0.9357145179109158,0.9142244466099332,0.8415306911958762,0.8462097294339257,0.9672763493738957,0.9507771641779215
5,0.4325398811711736,0.44877764463424685,0.8452828012402324,0.8459056945187473,0.7461400455626888,0.7442720608187874,0.9391076509636518,0.9187792968703268,0.8460189498139483,0.8590804738430171,0.9685921701239334,0.9548952223988071
6,0.3853924883807936,0.4322206395864487,0.854151701231632,0.850530595143406,0.7574363883244739,0.7557170669637807,0.942213210310248,0.9232562255812414,0.8519220789959457,0.8235662686340878,0.9700216248027463,0.9716516642342173
7,0.36314208406053816,0.42730115711688993,0.8584918347342273,0.8567400427117328,0.7626850654380162,0.7671169749732865,0.9427125888613822,0.9262034098260181,0.8549919970981079,0.8235749721296536,0.9693419003863647,0.9776429839769663
8,0.3476274502341663,0.3783946180343628,0.8593688669119286,0.8650250866177138,0.7655616681627331,0.7738006360223504,0.94435551451372,0.9291436767530865,0.8583338003728392,0.8627519532948723,0.970189579335086,0.9672607817063836
9,0.3308034970185422,0.38498703598976136,0.8648059154561825,0.858596940161209,0.7717567889496268,0.7584146811838898,0.9464570424051778,0.9234326171828031,0.8616414361701111,0.8986250135559889,0.9719645552151979,0.9433176922881608
10,0.31669531291916114,0.34342732906341555,0.8720916931232696,0.8718759274173347,0.7824343551733801,0.7822337801371195,0.9473578125327923,0.9329180908155673,0.869898129097083,0.8731563378394407,0.9712609545766829,0.9627898756018535
11,0.30865197416354767,0.3729942637681961,0.8720893137074509,0.8609905924618673,0.7839809081803883,0.7632771072264424,0.9487082427945855,0.9267869059197651,0.8720669871161885,0.8923143658116937,0.9718313768346315,0.9510806386325763
12,0.30311251630309183,0.36678832590579985,0.8719138940136185,0.8646084187467986,0.7836309168624367,0.7769979875189941,0.9497448216308103,0.9307073974562039,0.87296234426672,0.8368952479044307,0.971935717424074,0.9779849932015157
13,0.298401595229636,0.31984774112701414,0.8730262424052677,0.8784815494715873,0.785906790809084,0.793874030789094,0.9495910973640111,0.9359993489535725,0.8749706578607184,0.8708947092040242,0.9721174252211997,0.9692363600013262
14,0.2847963196608612,0.3343509978055954,0.8796866980348289,0.872785612552102,0.7948064407658864,0.7800962762242031,0.9513551685537545,0.9317700195265107,0.8778185560413313,0.904773713868402,0.9713950960403401,0.9522150279357635
15,0.2852761078229854,0.33171656131744387,0.8772927661181544,0.8685438480702614,0.7904369756879011,0.7748583097919002,0.9506690481301097,0.9279520670525722,0.8783402664509197,0.9234497002479805,0.9708605909729976,0.9373305393707401
16,0.27784353473979995,0.3341102570295334,0.8805812563233358,0.8717320988036624,0.7962240715300185,0.77976968994589,0.9527549959123428,0.9288208007765255,0.8815963371899088,0.8830675305334392,0.9728241509985671,0.9510811969215668
17,0.28444650047135833,0.30166846930980684,0.8763728284345027,0.8850967125016622,0.7896831272626138,0.7990400079101463,0.9507208668837187,0.9375282796176273,0.8759179986679625,0.9115509365110988,0.9722794871106595,0.9537239494124254
18,0.2622779661614465,0.30004206240177156,0.8874351685780676,0.8858700746068733,0.8057235014165424,0.8003093487019608,0.9548852310171199,0.9396740722608456,0.8852104910936804,0.9017995845173352,0.9741101898378516,0.9626516313802733
19,0.2596090373530043,0.3079346489906311,0.8879877032667136,0.8808067213706609,0.8068082999852865,0.7958574837112414,0.9547074234124727,0.9362691243441962,0.8874395535739134,0.9287261144179457,0.9743709513036335,0.9463822744630022
20,0.26061017075424386,0.3169232025742531,0.8870124599141472,0.8777350833005202,0.8049952913047709,0.7953924116002905,0.9539793040927903,0.93698140461763,0.8842014438783959,0.8614215755882221,0.9735860339488666,0.9767748176700181
21,0.2568907643480367,0.3030035853385925,0.889836112078523,0.8837911366651724,0.8090196476068168,0.7999622773587116,0.9560616468195712,0.9391782633415773,0.8863642443926137,0.8841477383995892,0.976276506273101,0.9694548585687264
22,0.2513495298799914,0.31550903379917145,0.8904813219978541,0.8759423556304629,0.8099848762295934,0.7875080656175497,0.956385788327337,0.9338199869744166,0.8876391598367139,0.8773609921733919,0.9751689552888008,0.9623081787393098
23,0.2550568214756866,0.3304098665714264,0.8894258347958196,0.8694085195844384,0.8090558371687778,0.7755920852076228,0.9555254496803443,0.9308079020134947,0.887114350327803,0.9238041433945058,0.974958674217313,0.9408306397041367
24,0.25495497258423105,0.28081550270318983,0.8875116210200625,0.8906860512168894,0.8059782013457983,0.8102891580265523,0.9564802251060764,0.9409183756462558,0.8879851788257732,0.9507262642286501,0.9751879550166884,0.9392641792618717
25,0.24091787783225255,0.30288737058639525,0.895750043433521,0.8819929505107974,0.817382190799212,0.7958970480135164,0.9580614024281494,0.9385493977816847,0.8930527299824755,0.9073655122131591,0.9751632524441678,0.9589739951950265
26,0.2478974917716991,0.2904130548238754,0.8922943143979586,0.885698255332307,0.8134054365659643,0.8028915427687562,0.9570960547854472,0.939662475581158,0.8905349153626799,0.9423156147468295,0.9756291596917014,0.9423904763551494
27,0.24328079113653517,0.3028661894798279,0.8938752429994733,0.8795898380426027,0.8151301362521514,0.7907013474503927,0.9575389358479555,0.9374448649040859,0.8924971567037865,0.9222837900739929,0.9756926186594328,0.9485368250268472
28,0.2520214765173353,0.3093176418542862,0.8906079405841216,0.8768380162721566,0.8107532483975696,0.7863210248935466,0.9563487659752419,0.9351680501254518,0.8873282885033701,0.930355584119829,0.9755609635567056,0.9445902760960214
29,0.2454487224251537,0.29437160551548003,0.8921972761315283,0.8843042015511051,0.8130657469846775,0.7973184934992426,0.9574540211178646,0.9396604410759498,0.8899516178236069,0.921568946646873,0.9758693158469757,0.9520642758511854
30,0.2421983079626031,0.2695289069414139,0.8940093151257821,0.8952763145213228,0.8160817550669162,0.8163083965298867,0.9580257280533082,0.9457430012972731,0.8928274679840206,0.9339725803776762,0.9752583840730671,0.9527923049705138
31,0.23859097441236485,0.32302233576774597,0.894858461652781,0.8746703818089376,0.8170878723284887,0.78414425202847,0.9586442615242714,0.9317456054640109,0.8933165080408574,0.9467369503179712,0.9760338215911885,0.9304574543820088
32,0.23698231849377438,0.3099875742197037,0.8969303118536021,0.8778107453472124,0.8200084082082187,0.7874237208435608,0.9584909526225561,0.9354941813103461,0.8940773658957654,0.9367715771421911,0.9766638413280825,0.9391035892136074
33,0.22851776267948615,0.3903426331281662,0.9009153657272728,0.8486489866817394,0.8257708962813703,0.7478091607171377,0.9603394369694586,0.9121675618443187,0.8956109846270905,0.9697359372931964,0.9779056536482355,0.8906259616478732
34,0.23934631743030665,0.2815544053912163,0.895073450528718,0.8862814040776731,0.8170804159219599,0.8048044367936535,0.9584390398240202,0.9394980875603257,0.8939057625233442,0.950033271171026,0.9761977367096667,0.9381263884629538
35,0.2305262022765098,0.3050547099113464,0.9001667744435113,0.8787623554004377,0.8244726923247387,0.791421272035298,0.9598114765982382,0.9329412841749423,0.8973627982333068,0.9482683471441001,0.9769040414161294,0.930014603841838
36,0.23365081699768825,0.25790365725755693,0.8969375484161001,0.8990841030694657,0.8202962533818393,0.8242410676814133,0.9594711828746225,0.946696166987372,0.8939526393843343,0.9269441855599106,0.9773761182908814,0.9527571265160604
37,0.23093923081418583,0.30391644150018693,0.8979987289057144,0.8837442266767513,0.8218571740682163,0.8023071572834414,0.9598404424351024,0.9386431884717884,0.8965360100907731,0.8913997384388239,0.9772001072243174,0.9652586604450641
38,0.2297030928643716,0.3099928587675095,0.9020280107175283,0.8798170650727398,0.8268712168490687,0.7912927906025987,0.960050695538837,0.9360636393181556,0.8976131044165191,0.9108529098869167,0.9774629193115801,0.9536007281017841
39,0.2267293044536709,0.2731211879849434,0.9012109457716305,0.8911974050140113,0.8274328560586154,0.8075939866457102,0.9605880995879319,0.9424513753207272,0.8976980419050664,0.9254891392908633,0.9772461300938121,0.9545611229860063
40,0.226694622098573,0.3416350305080414,0.9007767010857267,0.8674170011203516,0.8259580448680799,0.7768621833366604,0.9604326825124818,0.9260306803338318,0.8980124293329479,0.963231413965779,0.97697324372179,0.9125405544849946
41,0.22460085642631689,0.33632685482501984,0.9014319101789157,0.8677988718120494,0.8268061385732589,0.7742515448326371,0.9611650260167065,0.9276454671176776,0.8982628108776695,0.9693114986728526,0.9780943035893994,0.9140376835485275
42,0.22890230811822396,0.3239246398210526,0.8993738640348028,0.8733747200479642,0.823890454953624,0.7817810094411406,0.9601838788266244,0.9314758300733874,0.8958357108300874,0.9438355192856243,0.9772846671726954,0.9301020035084491
43,0.20895474123982324,0.29656503558158875,0.9076382633030498,0.8828877133206687,0.8365484317330814,0.7965363078594551,0.9637715046210982,0.9380513509066871,0.9031325079742456,0.9122474252432353,0.9792916234499748,0.9555036011062126
44,0.20449643971854806,0.2895886009931564,0.9098414676033999,0.8924094957971493,0.8392800764585678,0.8136092872315533,0.9640612256863569,0.9428389485629125,0.9064099592735559,0.8912489648808959,0.9788126399891249,0.9709813977829097
45,0.20582085409315048,0.2898805326223373,0.9093500710713557,0.8862417568509962,0.8385399009045434,0.8025954837196073,0.9639717027549438,0.93986572265147,0.9057387391398154,0.9111998573127829,0.9799566656068631,0.9562483654789482
